review,studyid,country,yearsofstudy,studydesign,studysize,studyquality,studypopulation,eligiblitycriteria,exposure,comparatorgroup,casedefinition,casedefinitiontype,outcomeassessment,methodoffollowuporrecall,durationoffollowuporrecall,incidenceorprevalence,exposureanalysis,healthoutcomecategory,outcomereportedbypaper,exposuredefinition,numberexposed,numberofunexposed,percentageexposedcases,percentageunexposedcases,numberofexposedcases,numberofunexposedcaes,numberofexposednoncases,numberofunexposednoncases,or,lor,uor,cor,corlower95ci,corupper95ci,aor,aorlower95ci,aorupper95ci,OR_source,symptom,region,rct,logOR,logOR_L,logOR_U,logORse,query
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,head,Enteric,Cramps,Swimmer head immersion,1805,1851,,4.27,101,79,1704,1772,1.230000019,0.870000005,1.730000019,,,,1.230000019,0.870000005,1.730000019,,Stomach ache,North America,No,0.207014188,-0.139262065,0.548121393,0.175352916,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Enteric,Cramps,Swallowed,551,1851,,4.27,,,,,,,,,,,1.16,0.73,1.84,Electronic Appendix: eTable 2,Stomach ache,North America,No,,,,,
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,any,Enteric,Vomiting,Body immersion,2502,1851,,1.08,47,20,2455,1831,1.309999943,0.75999999,2.269999981,,,,1.309999943,0.75999999,2.269999981,,Vomiting,North America,No,0.270027101,-0.274436861,0.819779813,0.279136896,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,head,Enteric,Vomiting,Swimmer head immersion,1805,1851,,1.08,33,20,1772,1831,1.129999995,0.469999999,3,,,,1.299999952,0.75,2.269999981,,Vomiting,North America,No,0.122217625,-0.755022585,1.098612309,0.472866058,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,Not reported,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Enteric,Vomiting,Swallowed,551,1851,,1.08,,,,,,,,,,,1.92,0.97,2.13,Electronic Appendix: eTable 2,Vomiting,North America,No,,,,,
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,ear ache,Single,Self-reported,Telephone interview,10 days,Incidence,any,Ear,Earache,Body immersion,2502,1851,,0.74,58,14,2444,1837,2.440000057,1.289999962,4.650000095,,,,2.440000057,1.289999962,4.650000095,,Earache (single symptom case definition),North America,No,0.891998053,0.254642189,1.536867261,0.327098221,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,ear ache,Single,Self-reported,Telephone interview,10 days,Incidence,head,Ear,Earache,Swimmer head immersion,1805,1851,,0.74,48,14,1757,1837,2.890000105,1.549999952,5.389999866,,,,2.890000105,1.549999952,5.389999866,,Earache (single symptom case definition),North America,No,1.061256528,0.438254893,1.684545398,0.317931265,"where did the original, very precise adjusted ORs come from? I can get them to 2dp from the papers but assume the original ones must've been recalculated from re-run models or the authors provided more detailed data?"
original,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Ear,Earache,Swallowed,551,1851,,0.74,,,,,,,,,,,3.92,1.94,7.91,Electronic Appendix: eTable 2,Earache (single symptom case definition),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,any,Skin,Skin rash,Body,2502,1851,,2.4,,,,,,,,,,,1.05,0.69,1.62,Electronic Appendix: eTable 2,Skin rash (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,head,Skin,Skin rash,Head,1805,1851,,2.4,,,,,,,,,,,1.2,0.78,1.87,Electronic Appendix: eTable 2,Skin rash (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Skin,Skin rash,Swallowed,551,1851,,2.4,,,,,,,,,,,1.18,0.66,2.13,Electronic Appendix: eTable 2,Skin rash (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,any,Eye,Eye infection,Body,2502,1851,,0.37,,,,,,,,,,,1.05,0.69,1.62,Electronic Appendix: eTable 2,Eye infection (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,head,Eye,Eye infection,Head,1805,1851,,0.37,,,,,,,,,,,1.32,0.38,4.59,Electronic Appendix: eTable 2,Eye infection (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Eye,Eye infection,Swallowed,551,1851,,0.37,,,,,,,,,,,0.74,0.08,6.24,Electronic Appendix: eTable 2,Eye infection (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,any,Urinary,Urinary tract infection,Body,2502,1851,,0.9,,,,,,,,,,,0.9,0.44,1.85,Electronic Appendix: eTable 2,Urinary tract infection (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,head,Urinary,Urinary tract infection,Head,1805,1851,,0.9,,,,,,,,,,,1.07,0.48,2.4,Electronic Appendix: eTable 2,Urinary tract infection (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Urinary,Urinary tract infection,Swallowed,551,1851,,0.9,,,,,,,,,,,2.12,0.83,5.41,Electronic Appendix: eTable 2,Urinary tract infection (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,any,Respiratory,Upper respiratory illness,Body,2502,1851,,4.7,,,,,,,,,,,0.96,0.7,1.32,Electronic Appendix: eTable 2,Upper respiratory illness (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,head,Respiratory,Upper respiratory illness,Head,1805,1851,,4.7,,,,,,,,,,,1.01,0.71,1.44,Electronic Appendix: eTable 2,Upper respiratory illness (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Respiratory,Upper respiratory illness,Swallowed,551,1851,,4.7,,,,,,,,,,,1.24,0.79,1.95,Electronic Appendix: eTable 2,Upper respiratory illness (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,any,Respiratory,Cough,Body,2502,1851,,2.69,,,,,,,,,,,0.96,0.65,1.41,Electronic Appendix: eTable 2,Cough (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,head,Respiratory,Cough,Head,1805,1851,,2.69,,,,,,,,,,,0.97,0.64,1.45,Electronic Appendix: eTable 2,Cough (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Respiratory,Cough,Swallowed,551,1851,,2.69,,,,,,,,,,,1.23,0.72,2.08,Electronic Appendix: eTable 2,Cough (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,any,Respiratory,Sore throat,Body,2502,1851,,4.49,,,,,,,,,,,1.1,0.8,1.5,Electronic Appendix: eTable 2,Sore throat (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,head,Respiratory,Sore throat,Head,1805,1851,,4.49,,,,,,,,,,,1.08,0.78,1.51,Electronic Appendix: eTable 2,Sore throat (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Respiratory,Sore throat,Swallowed,551,1851,,4.49,,,,,,,,,,,1.5,0.97,2.32,Electronic Appendix: eTable 2,Sore throat (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,any,Other,Fever,Body,2502,1851,,1.95,,,,,,,,,,,1.34,0.87,2.08,Electronic Appendix: eTable 2,Fever (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,head,Other,Fever,Head,1805,1851,,1.95,,,,,,,,,,,1.33,0.83,2.13,Electronic Appendix: eTable 2,Fever (case definition TBC),North America,No,,,,,
update,Arnold 2013,US,2009,Prospective cohort,5674,Good,Beach visitors at Malibu beach May-September 2009,"At least one household member at the beach aged >=18, home address in the US, Canada or Mexico, no previous study participation in the past 28 days, ability to speak English or Spanish. ",Swimmer head immersion,Non-swimmer,,Single,Self-reported,Telephone interview,10 days,Incidence,swallowed,Other,Fever,Swallowed,551,1851,,1.95,,,,,,,,,,,1.66,0.95,2.91,Electronic Appendix: eTable 2,Fever (case definition TBC),North America,No,,,,,
original,Balarajan 1991,UK,1990-1992,Prospective cohort,1460,Moderate,"beach goers 5 - 64, locals and visitors",aged>5,Surfers/divers,no water contact,"Any of runny nose, sore throat, sore or red eyes, ear infection (any soreness or discharge), nausea, vomiting, stomach cramps, diarrhoea, wheezing or shortness of breath, cough, fever",Multi-symptom,self reported,computer-assisted telephone interview,7 days,Incidence,head,Any,,"surfing, windsurfing, diving with or without mask or equipment (e.g. scuba diving or snorkelling)",4456.859863,4749.970215,,,1011,882,3446,3868,3.069999933,1.129999995,8.350000381,,,,,,,,Any symptom of infection,Europe,No,1.121677518,0.122217625,2.122261524,0.510215282,
original,Balarajan 1991,UK,1990-1992,Prospective cohort,1460,Moderate,"beach goers 5 - 64, locals and visitors",aged>5,Any water activity,no water contact,"Any of runny nose, sore throat, sore or red eyes, ear infection (any soreness or discharge), nausea, vomiting, stomach cramps, diarrhoea, wheezing or shortness of breath, cough, fever",Multi-symptom,self reported,computer-assisted telephone interview,7 days,Incidence,any,Any,,"wading, paddling, swimming, surfing, windsurfing, diving with or without mask or equipment (e.g. scuba diving or snorkelling)",11822,4750,,,2705,882,9117,3868,1.301309943,1.194430947,1.417788029,,,,,,,,Any symptom of infection,Europe,No,0.263371408,0.177669883,0.349097937,0.043731645,
original,Balarajan 1991,UK,1990-1992,Prospective cohort,1460,Moderate,"beach goers 5 - 64, locals and visitors",aged>5,Any water activity,no water contact,3 or more loose or runny stools within 24 h,Single,self reported,computer-assisted telephone interview,7 days,Incidence,any,Enteric,Diarrhoea,"wading, paddling, swimming, surfing, windsurfing, diving with or without mask or equipment (e.g. scuba diving or snorkelling)",11446,4339,,,461,141,10985,4198,1.249464989,1.026833057,1.52463305,,,,,,,,Diarrhoea,Europe,No,0.222715452,0.026479363,0.421753764,0.100835308,
original,Balarajan 1991,UK,1990-1992,Prospective cohort,1460,Moderate,"beach goers 5 - 64, locals and visitors",aged>5,Surfers/divers,no water contact,3 or more loose or runny stools within 24 h,Single,self reported,computer-assisted telephone interview,7 days,Incidence,head,Enteric,Diarrhoea,"surfing, windsurfing, diving with or without mask or equipment (e.g. scuba diving or snorkelling)",1441,4339,,,68,141,1373,4198,1.474557042,1.08060503,1.996984959,,,,,,,,Diarrhoea,Europe,No,0.388357639,0.077521101,0.691638529,0.156662613,
original,Balarajan 1991,UK,1990-1992,Prospective cohort,1460,Moderate,"beach goers 5 - 64, locals and visitors",aged>5,Any water activity,no water contact,"Nausea, vomiting, stomach cramps, diarrhoea ",Multi-symptom,self reported,computer-assisted telephone interview,7 days,Incidence,any,Enteric,Gastrointestinal symptoms,"wading, paddling, swimming, surfing, windsurfing, diving with or without mask or equipment (e.g. scuba diving or snorkelling)",,,,,,,,,1.460000038,1.269999981,1.669999957,,,,,,,,Gastrointestinal infection (case definition requires at least one of a list of symptoms),Europe,No,0.378436476,0.239016891,0.512823582,0.069848649,
original,Balarajan 1991,UK,1990-1992,Prospective cohort,1460,Moderate,"beach goers 5 - 64, locals and visitors",aged>5,Surfers/divers,no water contact,"Nausea, vomiting, stomach cramps, diarrhoea ",Multi-symptom,self reported,computer-assisted telephone interview,7 days,Incidence,head,Enteric,Gastrointestinal,"surfing, windsurfing, diving with or without mask or equipment (e.g. scuba diving or snorkelling)",,,,,,,,,1.940000057,1.579645991,2.384557009,,,,,,,,Gastrointestinal infection (case definition requires at least one of a list of symptoms),Europe,No,0.662688017,0.457200766,0.869013369,0.105054237,
update,,,,,,,,,,,,,,,,,,Eye,Eye symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,,,,,,,,,,,,,,,,,,Eye,Eye symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,,,,,,,,,,,,,,,,,,Respiratory,Respiratory symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,,,,,,,,,,,,,,,,,,Respiratory,Respiratory symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,
original,Begier 2008,Mexico,2004,Case-control study of outbreak,25,Poor,"Holiday makers to Mexico, adults and children",,Swimming,Non-bathers,,,Lab-diagnosed,,24 days,Incidence,any,Specific,Echovirus infection,,,,,,,,,,5.329999924,0.140000001,207.8699951,,,,,,,,Echovirus infection,North America,No,1.673351169,-1.966112852,5.336912632,1.863016725,
original,Bonilla 2007,US,2001 - 2003,Prospective cohort,1491,Poor,Beach goers and people from the general population who had not been to the beach in the past 9 days,Members of the general population had not been to the beach in the past 9 days,beach goer,non-beach goer,"nausea, diarrhoea, stomach pain or cramps",Multi-symptom,self-reported symptoms,questionnaire,4 days,Incidence,any,Enteric,Gastro,"Swimming, snorkelling, diving, sitting/playing in/lying on the sand",882,609,,,75,93,807,516,0.515649378,0.367790312,0.721794903,,,,,,,,Gastrointestinal infection (case definition requires at least one of a list of symptoms),North America,No,-0.662328243,-1.000242352,-0.326014251,0.171996966,
